,ML Factor Portfolio,Benchmark
Total Return,2.5774879638133865,4.455185736020668
CAGR,0.09544764326166866,0.12900596776420237
Volatility,0.18898914534663727,0.17325542710760708
Sharpe Ratio,0.57760473693151,0.7877553692461038
Max Drawdown,-0.39870789603318313,-0.3371726149351546
Calmar Ratio,0.2393924078537057,0.3826110486138174
