Date,gross_return,transaction_cost,portfolio_return,turnover,equity_curve,benchmark_return,benchmark_equity
2010-04-28,0.0,0.0,0.0,0.0,1.0,0.007595983663813977,1.057721808495802
2010-04-29,0.0,0.0,0.0,0.0,1.0,0.012397270324239429,1.070834671683568
2010-04-30,0.0,0.0,0.0,0.0,1.0,-0.01696175434183156,1.0526714370417554
2010-05-03,0.0,0.0,0.0,0.0,1.0,0.012962310690835865,1.0663164912640593
2010-05-04,0.0,0.0,0.0,0.0,1.0,-0.023515166856516,1.0412418810501303
2010-05-05,0.0,0.0,0.0,0.0,1.0,-0.005956375331488184,1.035039853595731
2010-05-06,0.0,0.0,0.0,0.0,1.0,-0.03321340855666233,1.0006626520658282
2010-05-07,0.0,0.0,0.0,0.0,1.0,-0.01487520674495435,0.9857775882343947
2010-05-10,0.0,0.0,0.0,0.0,1.0,0.04404110271699824,1.0291923202539404
2010-05-11,0.0,0.0,0.0,0.0,1.0,-0.002840836074421982,1.026268553583045
2010-05-12,0.0,0.0,0.0,0.0,1.0,0.01398575710632377,1.0406216962993156
2010-05-13,0.0,0.0,0.0,0.0,1.0,-0.012430661572273127,1.027686080167854
2010-05-14,0.0,0.0,0.0,0.0,1.0,-0.018105268318691414,1.0090795479390309
2010-05-17,0.0,0.0,0.0,0.0,1.0,0.0005268674772704873,1.0096111991348187
2010-05-18,0.0,0.0,0.0,0.0,1.0,-0.01360186781280126,0.9958786010618631
2010-05-19,0.0,0.0,0.0,0.0,1.0,-0.005694113892938613,0.9902079548838765
2010-05-20,0.0,0.0,0.0,0.0,1.0,-0.03775951454519,0.952818183208676
2010-05-21,0.0,0.0,0.0,0.0,1.0,0.014598918548963669,0.966728298257311
2010-05-24,0.0,0.0,0.0,0.0,1.0,-0.012830590599921754,0.9543246032410124
2010-05-25,0.0,0.0,0.0,0.0,1.0,0.0010208570485239488,0.9552988322388108
2010-05-26,0.0,0.0,0.0,0.0,1.0,-0.006028762426770196,0.949539562532672
2010-05-27,0.0,0.0,0.0,0.0,1.0,0.033498171380717645,0.9813474015311632
2010-05-28,0.0,0.0,0.0,0.0,1.0,-0.012549604079611476,0.9690318801773916
